read_code,icd9_code,icd9_code_def
A510.,0510,1
A511.,0511,1
A512.,0512,1
A51z.,0519,1
A52..,052,1
A520.,052,1
A521.,052,1
A52x.,052,1
A52y.,052,1
A52z.,052,1
A53..,053,1
A530.,0530D 3213A,7
A531.,0531,1
A5310,0531,1
A5311,0531,1
A5312,0531D 3500A,7
A5313,0531D 3574A,7
A5314,0531,1
A5315,0531D 3574A,7
A531z,0531,1
A532.,0532D,8
A5320,0532D 3735A,7
A5321,0532D 3704A,7
A5322,0532D 3640A,7
A5323,0532D,8
A5324,0532D 3735A,7
A532z,0532D,8
A53x.,0537,1
A53x0,0537,1
A53x1,0537,1
A53xz,0537,1
A53y.,0538,1
A53z.,0539,1
A54..,054,1
A540.,0540,1
A541.,0541,1
A5410,0541,1
A5411,0541D 6161A,7
A5412,0541D 6165A,7
A5413,0541,1
A5414,0547,1
A5415,0541,1
A541z,0541,1
A542.,0542,1
A543.,0543D 3234A,7
A544.,0544D,8
A5440,0544D,8
A5441,0544D 3735A,7
A5442,0544D 3701A,7
A5443,0544D 3705A,7
A5444,0544D 3640A,7
A5445,0544D 3735A,7
A544z,0544D,8
A545.,0545,1
A546.,0546,1
A548.,0549,1
A54x.,0547,1
A54x0,0547,1
A54x1,0547D 3214A,7
A54x2,0547,1
A54x3,0549,1
A54xz,0547,1
A54y.,0548,1
A54z.,0549,1
A55..,055,1
A550.,0550D 3236A,7
A551.,0551D 4840A,7
A552.,0552D 3820A,7
A553.,0557,1
A554.,0557,1
A55x.,0557,1
A55x0,0557,1
A55xz,0557,1
A55y.,0558,1
A55z.,0559,1
A56..,056,1
A560.,0560,1
A5600,0560,1
A5601,0560D 3234A,7
A5602,0560,1
A560z,0560,1
A56x.,0567,1
A56x0,0567D 7115A,7
A56xz,0567,1
A56y.,0568,1
A56z.,0569,1
A57..,057,1
A570.,0570,1
A57y.,0578,1
A57y0,0578,1
A57y1,0578,1
A57y2,0578,1
A57y3,0578,1
A57y4,0578,1
A57y5,0578,1
A57yz,0578,1
A57z.,0579,1
A5y..,050-057,2
A5z..,050-057,2
A6...,060-066,2
A60..,060,1
A600.,0600,1
A601.,0601,1
A60z.,0609,1
A61..,061,1
A62..,062D 3233A,7
A620.,0620D 3233A,7
A621.,0621D 3233A,7
A622.,0622D 3233A,7
A623.,0623D 3233A,7
A624.,0624D 3233A,7
A625.,0625D 3233A,7
A626.,0628,1
A62y.,0628D 3233A,7
A62z.,0629D 3233A,7
A63..,063D 3233A,7
A630.,0630D 3233A,7
A631.,0631D 3233A,7
A632.,0632D 3233A,7
A63y.,0638D 3233A,7
A63y0,0638D 3233A,7
A63y1,0638D 3233A,7
A63yz,0638D 3233A,7
A63z.,0639D 3233A,7
A64..,064D 3233A,7
A65..,065,1
A650.,0650,1
A651.,0651,1
A652.,0652,1
A653.,0653,1
A654.,0654,1
A6540,061,1
A65y.,0658,1
A65y0,0658,1
A65yz,0658,1
A65z.,0659,1
A66..,066,1
A660.,0660,1
A6600,0660,1
A6601,0660,1
A660z,0660,1
A661.,0661,1
A6610,0661,1
A6611,0661,1
A6612,0661,1
A6613,0661,1
A6614,0661,1
A661z,0661,1
A662.,0662,1
A663.,0663,1
A6630,0663,1
A6631,0663,1
A6632,0663,1
A6633,0663,1
A6634,0663,1
A6635,0663,1
A6636,0663,1
A6637,0663,1
A6638,0663,1
A6639,0663,1
A663A,0663,1
A663B,0663,1
A663C,0663,1
A663D,0663,1
A663z,0663,1
A66y.,0668,1
A66y0,0668,1
A66y1,0668,1
A66yz,0668,1
A66z.,0669,1
A6y..,060-066,2
A6z..,060-066,2
A7...,070-079,2
A70..,070D 5731A,7
A700.,0700D 5731A,7
A701.,0701D 5731A,7
A702.,0702D 5731A,7
A7020,0702D 5731A,7
A703.,0703D 5731A,7
A7030,0703D 5731A,7
A704.,0704D 5731A,7
A7040,0704D 5731A,7
A704z,0704D 5731A,7
A705.,0705D 5731A,7
A7050,0705D 5731A,7
A7051,0705,1
A7052,0705D 5731A,7
A7054,0705D 5731A,7
A705z,0705D 5731A,7
A706.,0706D 5731A,7
A707.,0709D 5731A,7
A7070,0709D 5731A,7
A7071,0709D 5731A,7
A7072,0709D 5731A,7
A707X,0709D 5731A,7
A70z.,0709D 5731A,7
A70z0,0705D 5731A,7
A71..,071,1
A710.,071,1
A711.,071,1
A72..,072,1
A720.,0720D 6049A,7
A721.,0721D 3215A,7
A722.,0722D 3234A,7
A723.,0723D 5770A,7
A72x.,0727,1
A72x0,0727D 5731A,7
A72x1,0727D 3574A,7
A72xz,0727,1
A72y.,0728,1
A72z.,0729,1
A73..,073,1
A730.,073,1
A73x.,073,1
A73y.,073,1
A73z.,073,1
A74..,074,1
A740.,0740,1
A741.,0741,1
A742.,0742D,8
A7420,0742D,8
A7421,0742D 4200A,7
A7422,0742D 4211A,7
A7423,0742D 4220A,7
A742z,0742D,8
A743.,0743,1
A74y.,0748,1
A74z.,074,1
A75..,075,1
A750.,075,1
A751.,0788,1
A76..,076,1
A760.,0760,1
A761.,0761,1
A76z.,0769,1
A77..,077,1
A770.,0770D 3720A,7
A771.,0771D 3704A,7
A772.,0772D 3720A,7
A773.,0773D 3720A,7
A774.,0774D 3720A,7
A776.,3704,1
A777.,0773D 3720A,7
A77X.,0779,1
A77y.,0778D 3720A,7
A77z.,0779D 3720A,7
A78..,078,1
A780.,0780,1
A781.,0781,1
A7810,0781,1
A7811,0781,1
A7812,0781,1
A7813,0781,1
A7814,0781,1
A7815,0781,1
A7816,0781,1
A781z,0781,1
A782.,0782,1
A783.,0783,1
A784.,0784,1
A785.,0785,1
A7850,0785D 4801A,7
A7851,0785D 5770A,7
A7852,0785D 5731A,7
A785X,0785,1
A786.,0786D 5818A,7
A787.,0787,1
A7870,0787,1
A7871,0787,1
A788.,0794,1
A7880,0794,1
A7881,0794,1
A7882,0794,1
A7883,0794,1
A7884,0794,1
A7885,0794,1
A7886,0794,1
A788y,0794,1
A788z,0794,1
A789.,2791,1
A7894,2791,1
A78A0,0998,1
A78A1,0998,1
A78A2,0998,1
A78A3,0998,1
A78A4,0779D 3720A,7
A78AW,0788,1
A78X.,0788,1
A78y.,0788,1
A78y0,0788D 3861A,7
A78y1,0788,1
A78y2,0788,1
A78y3,0788,1
A78y4,0788,1
A78y5,0788,1
A78yz,0788,1
A79..,079,1
A790.,0790,1
A791.,0791,1
A792.,0792,1
A793.,0793,1
A794.,0788,1
A795.,0798,1
A796.,0798,1
A797.,0798,1
A798.,0798,1
A79A.,0799,1
A79X.,0798,1
A79y.,0798,1
A79z.,0799,1
A7A..,4298,1
A7y..,070-079,2
A7y0.,0799,1
A7y00,0798,1
A7y01,0798,1
A7y02,0798,1
A7y03,0798,1
A7y04,0798,1
A7y05,0798,1
A7y0X,0790,1
A7z..,070-079,2
A8...,080-088,2
A80..,080,1
A81..,081,1
A810.,0810,1
A811.,0811,1
A812.,0812,1
A81z.,0819,1
A82..,082,1
A820.,0820,1
A8200,0820,1
A8201,0820,1
A820z,0820,1
A821.,0821,1
A8210,0821,1
A8211,0821,1
A8212,0821,1
A8213,0821,1
A8214,0821,1
A821z,0821,1
A822.,0822,1
A8220,0822,1
A822z,0822,1
A823.,0823,1
A82y.,0828,1
A82z.,0829,1
A83..,083,1
A830.,0830,1
A831.,0831,1
A832.,0832,1
A83y.,0838,1
A83z.,0839,1
A84..,084,1
A840.,0840,1
A8400,0840,1
A841.,0841,1
A8410,0841,1
A841X,0841,1
A842.,0842,1
A843.,0843,1
A844.,0844,1
A8440,0844,1
A8441,0842,1
A845.,0845,1
A846.,0846,1
A847.,0847,1
A848.,0848,1
A849.,0849,1
A8490,0849,1
A8491,0849,1
A849z,0849,1
A84W.,0842,1
A84X.,0840,1
A85..,085,1
A850.,0850,1
A851.,0851,1
A8510,0851,1
A8511,0851,1
A8512,0851,1
A851z,0851,1
A852.,0852,1
A853.,0853,1
A854.,0854,1
A855.,0855,1
A85z.,0859,1
A86..,086,1
A860.,0860D 4256A,7
A8600,0860D 4256A,7
A861.,0861,1
A8610,0861,1
A8611,0861,1
A862.,0862,1
A863.,0863,1
A864.,0864,1
A865.,0865,1
A86z.,0869,1
A87..,087,1
A870.,0870,1
A871.,0871,1
A8710,1048,1
A871z,0871,1
A87z.,0879,1
A88..,088,1
A880.,0880,1
A8800,0880,1
A8801,0880,1
A88y.,0888,1
A88z.,0889,1
A8y..,080-088,2
A8z..,080-088,2
A9...,090-099,2
A90..,090,1
A900.,0900,1
A901.,0901,1
A902.,0902,1
A903.,0903D 3705A,7
A904.,0904,1
A9040,0904,1
