read_code,icd10_code,mapping_status,refine_flag,add_code_flag,element_num,block_num
14L..,Z88,A,M,M,0,0
14L1.,Z880,G,C,M,0,0
14L2.,Z881,G,C,M,0,0
14L3.,Z884,G,C,M,0,0
14L4.,Z886,G,C,M,0,0
14L5.,Z887,G,C,M,0,0
14L6.,Z887,G,C,M,0,0
14L7.,Z881,G,C,M,0,0
14L8.,Z881,G,C,M,0,0
14L9.,Z881,G,C,M,0,0
14LA.,Z881,G,C,M,0,0
14LB.,Z881,G,C,M,0,0
14LC.,Z881,G,C,M,0,0
14LD.,Z882,G,C,M,0,0
14LE.,Z882,G,C,M,0,0
14LF.,Z882,G,C,M,0,0
14LG.,Z881,G,C,M,0,0
14LH.,Z881,G,C,M,0,0
14LI.,Z881,G,C,M,0,0
14LZ.,Z889,G,C,M,0,0
14M..,Z910,G,C,M,0,0
14M1.,Z910,G,C,M,0,0
14M2.,Z910,G,C,M,0,0
14M3.,Z910,G,C,M,0,0
14N..,Z924,G,C,M,0,0
14N1.,Z924,G,C,M,0,0
14N2.,Z988,G,C,M,0,0
14N3.,Z924,G,C,M,0,0
14N30,Z924,G,C,M,0,0
14N40,Z892,D,C,M,0,0
14N40,Z893,A,C,M,0,0
14N40,Z898,A,C,M,0,0
14N41,Z924,G,C,M,0,0
14N5.,Z902,G,C,M,0,0
14N6.,Z924,D,C,M,0,0
14N6.,Z95,R,M,M,0,0
14N7.,Z924,G,C,M,0,0
14N8.,Z907,G,C,M,0,0
14O..,Z918,D,C,M,0,0
14O..,Z91,A,M,M,0,0
14O1.,Z584,G,C,M,0,0
14O3.,Z581,G,C,M,0,0
14O4.,Z578,G,C,M,0,0
14O6.,Z205,G,C,C,0,0
14P..,Z922,G,C,M,0,0
14P1.,Z921,G,C,M,0,0
14P2.,Z922,G,C,M,0,0
14P3.,Z922,G,C,M,0,0
14P4.,Z922,G,C,M,0,0
14P5.,Z922,G,C,M,0,0
14P6.,Z922,G,C,M,0,0
14P7.,Z922,D,C,M,0,0
14P7.,Z926,A,C,M,0,0
14R2.,Z924,G,C,M,0,0
14R3.,Z521,G,C,M,0,0
14S..,Z949,D,C,M,0,0
14S..,Z94,A,M,M,0,0
14S1.,Z948,G,C,M,0,0
14S2.,Z940,G,C,M,0,0
14S3.,Z941,G,C,M,0,0
14S4.,Z954,D,C,M,0,0
14S4.,Z952,A,C,M,0,0
14S4.,Z953,A,C,M,0,0
14S5.,Z945,G,C,M,0,0
14S6.,Z946,G,C,M,0,0
14S7.,Z947,G,C,M,0,0
14S8.,Z944,G,C,M,0,0
14S9.,Z942,D,C,M,0,0
14S9.,Z943,A,C,M,0,0
14T..,Z949,D,C,M,0,0
14T..,Z94,A,M,M,0,0
14T..,Z95,R,M,M,0,0
14T1.,Z970,G,C,M,0,0
14T2.,Z961,G,C,M,0,0
14T3.,Z952,G,C,M,0,0
14T4.,Z958,G,C,M,0,0
14T5.,Z966,G,C,M,0,0
14T6.,Z971,G,C,M,0,0
14T7.,Z994,G,C,M,0,0
14T8.,Z960,G,C,M,0,0
14U..,Z939,D,C,M,0,0
14U..,Z93,A,M,M,0,0
14U1.,Z930,G,C,M,0,0
14U2.,Z932,G,C,M,0,0
14U3.,Z933,G,C,M,0,0
14U4.,Z936,G,C,M,0,0
14U5.,Z931,G,C,M,0,0
14V2.,Z928,G,C,M,0,0
14V3.,Z982,G,C,M,0,0
14V5.,Z981,G,C,M,0,0
14V50,Z981,G,C,M,0,0
1512.,N951,D,C,C,0,0
1512.,N953,A,C,C,0,0
1512.,E283,R,C,C,0,0
1512.,F228,R,C,C,0,0
1512.,F28X,R,C,C,0,0
1512.,M138,R,P,C,0,0
1518.,N925,G,C,C,0,0
151G.,N920,G,C,C,0,0
1526.,Z641,G,C,M,0,0
1527.,Z641,G,C,M,0,0
1528.,Z641,G,C,M,0,0
1541.,Z875,G,C,M,0,0
1542.,Z875,G,C,M,0,0
15422,Z875,G,C,M,0,0
15423,Z875,G,C,M,0,0
15424,Z875,G,C,M,0,0
15425,Z875,G,C,M,0,0
15426,Z875,G,C,M,0,0
15427,Z875,G,C,M,0,0
1544.,Z875,G,C,M,0,0
1546.,Z875,G,C,M,0,0
1561.,Z920,G,C,M,0,0
1562.,Z920,G,C,M,0,0
1563.,Z920,G,C,M,0,0
1564.,Z920,G,C,M,0,0
157..,Z874,G,C,M,0,0
1571.,Z874,G,C,M,0,0
1572.,Z874,G,C,M,0,0
1573.,Z874,G,C,M,0,0
1574.,Z874,G,C,M,0,0
1581.,Z874,G,C,M,0,0
1583.,Z874,G,C,M,0,0
1591.,Z874,G,C,M,0,0
1593.,Z874,G,C,M,0,0
1595.,Z874,G,C,M,0,0
1596.,Z874,G,C,M,0,0
1599.,Z924,G,C,M,0,0
15A..,Z875,G,C,M,0,0
15A1.,Z875,G,C,M,0,0
15A2.,Z924,D,C,M,0,0
15A2.,O342,R,C,C,0,0
15A2.,Z875,R,C,M,0,0
15A3.,Z875,G,C,M,0,0
15A4.,Z875,G,C,M,0,0
15A6.,Z875,G,C,M,0,0
15A7.,Z875,G,C,M,0,0
15A8.,Z875,G,C,M,0,0
15AA.,Z875,G,C,M,0,0
15C..,N898,G,C,C,0,0
15E..,N908,G,C,C,0,0
1624.,R635,D,C,C,0,0
1624.,O260,R,C,C,0,0
163..,R633,G,C,C,0,0
